"swab_id","survey_id","fid","latitude_swab","longitude_swab","precision_swab","datetime_swab","microhabitat","temperature_of_substrate_C","temperature_of_animal_C","species","sex","lifestage","weight_of_animal_bag_g","weight_of_bag","svl_mm","tl_mm","swabbed","extraction_notes","visit_batch","site_id","date","start_time_edt","end_time_edt","abundance_ves","site_name","lat","long","year","season","doy","doy_min","doy_max","doy_ave","doy_ves_min","doy_ves_max","doy_ves_ave","doy_bd","season3_samp","season3_mo","CT1","CT2","Ct_Mean","Quantity_Mean","CT3","CT4","Ct_Mean2","Quantity_Mean2","num_runs","bd_status","CT_Mean_Total","Quantity_Mean_Total","bd_load","bd_positive"
"MWUT001",1,NA,35.915391,-84.402816,NA,NA,"tree",NA,NA,"racl","female","subadult",175,150,48,27,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",27.53,27.35,27.44,2050.304932,NA,NA,NA,NA,1,"positive",27.44,2046.83260627901,2046.83260627901,1
"MWUT002",1,NA,35.915391,-84.402816,NA,NA,"water",NA,NA,"racl","female","subadult",170,149,49,25,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",0,0,NA,NA,NA,NA,NA,NA,1,"negative",NA,NA,0,0
"MWUT003",1,NA,35.915837,-84.402967,NA,NA,"water",NA,NA,"racl","female","subadult",190,130,74,33,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",0,0,NA,NA,NA,NA,NA,NA,1,"negative",NA,NA,0,0
"MWUT004",1,NA,35.915837,-84.402967,NA,NA,"water",NA,NA,"racl","female","subadult",300,260,68,32,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",30.109,30.244,30.177,307.0488586,NA,NA,NA,NA,1,"positive",30.1765,306.733246937758,306.733246937758,1
"MWUT005",1,NA,35.915837,-84.402967,NA,NA,"water",NA,NA,"racl","male","subadult",265,215,65,29,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",36.535,36.318,36.427,4.029039383,NA,NA,NA,NA,1,"positive",36.4265,4.01846886604112,4.01846886604112,1
"MWUT006",1,NA,35.915815,-84.403147,NA,NA,"water",NA,NA,"racl","female","subadult",120,105,50,22,"y",NA,0,1,2022-03-15,"19:51:00","23:13:00","n","ornl_powerhouse",35.914888,-84.4000154,2022,"spring",74,74,264,169,NA,NA,NA,74,"spring","spring",0,39.185,39.185,0.59325856,0,0,NA,NA,2,"negative",39.185,0.593078292035967,0,0
"MWUT007",3,NA,35.951121,-83.854762,NA,NA,"water",NA,NA,"racl","female","subadult",215,185,57,27,"y",NA,0,3,2022-03-22,"19:42:00","21:20:00","n","fotr_big_pond",35.951944,-83.854111,2022,"spring",81,81,146,113.5,NA,NA,NA,81,"spring","spring",0,0,NA,NA,NA,NA,NA,NA,1,"negative",NA,NA,0,0
"MWUT008",9,NA,35.957569,-83.868485,NA,NA,"water",NA,NA,"racl","female","subadult",185,165,49,23,"y",NA,0,9,2022-03-24,"20:14:00","23:02:00","n","ijams_complex_pond2",35.957569,-83.868485,2022,"spring",83,83,83,83,NA,NA,NA,83,"spring","spring",0,0,NA,NA,NA,NA,NA,NA,1,"negative",NA,NA,0,0
"MWUT009",10,NA,35.957783,-83.869219,NA,NA,"water",NA,NA,"racl","female","adult",170,100,85,42,"y",NA,0,10,2022-03-24,"20:14:00","23:02:00","n","ijams_complex_pond3",35.957797,-83.869251,2022,"spring",83,83,269,176,NA,NA,NA,83,"spring","spring",33.497,32.993,33.245,37.07701874,NA,NA,NA,NA,1,"positive",33.245,36.5115558800591,36.5115558800591,1
"MWUT010",10,NA,35.957794,-83.869259,NA,NA,"water",NA,NA,"rapa","male","subadult",300,290,41,24.5,"y",NA,0,10,2022-03-24,"20:14:00","23:02:00","n","ijams_complex_pond3",35.957797,-83.869251,2022,"spring",83,83,269,176,NA,NA,NA,83,"spring","spring",37.736,35.541,36.638,4.522742271,NA,NA,NA,NA,1,"positive",36.6385,3.46896098659556,3.46896098659556,1
"MWUT011",13,NA,36.379585,-84.20209,NA,NA,"water, brush",NA,NA,"raca","male","adult",370,180,124,54,"y",NA,0,13,2022-03-27,"21:17:00","23:12:00","n","nc_frozen_net",36.37968,-84.202037,2022,"spring",86,86,86,86,NA,NA,NA,86,"spring","spring",27.847,27.564,27.705,1710.869019,NA,NA,NA,NA,1,"positive",27.7055,1702.57095529816,1702.57095529816,1
"MWUT012",13,NA,36.379449,-84.202064,NA,NA,"water, reeds",NA,NA,"racl","female","subadult",180,155,124,54,"y",NA,0,13,2022-03-27,"21:17:00","23:12:00","n","nc_frozen_net",36.37968,-84.202037,2022,"spring",86,86,86,86,NA,NA,NA,86,"spring","spring",34.179,34.226,34.202,18.79646873,NA,NA,NA,NA,1,"positive",34.2025,18.7931968454385,18.7931968454385,1
