"abund","site","species","doy"
2,2,"racl",45.5
43,2,"racl",67.5
58,2,"racl",108.5
325,2,"racl",150
385,2,"racl",189.5
555,2,"racl",238.5
324,2,"racl",271.5
26,2,"racl",81
18,2,"racl",115.5
210,2,"racl",151.5
678,2,"racl",193
532,2,"racl",220.5
169,2,"racl",256
67,2,"racl",290.5
6,2,"racl",30.5
52,7,"racl",52.5
67,7,"racl",86.5
74,7,"racl",132.5
191,7,"racl",163
220,7,"racl",201.5
98,7,"racl",247.5
12,7,"racl",280
82,7,"racl",90.5
133,7,"racl",125
109,7,"racl",156.5
236,7,"racl",199.5
245,7,"racl",228
107,7,"racl",262.5
130,7,"racl",311.5
2,7,"racl",44.5
47,10,"racl",52.5
62,10,"racl",84.5
74,10,"racl",131.5
51,10,"racl",163
23,10,"racl",198.5
51,10,"racl",240
47,10,"racl",282.5
51,10,"racl",88
50,10,"racl",122.5
354,10,"racl",156.5
41,10,"racl",203.5
82,10,"racl",231
16,10,"racl",265.5
3,10,"racl",311.5
4,10,"racl",41.5
127,15,"racl",66.5
110,15,"racl",97.5
313,15,"racl",140.5
469,15,"racl",171.5
647,15,"racl",209.5
188,15,"racl",252
100,15,"racl",289.5
251,15,"racl",97.5
139,15,"racl",134
225,15,"racl",162
610,15,"racl",210.5
115,15,"racl",239.5
214,15,"racl",273
78,15,"racl",308
194,15,"racl",51.5
0,2,"raca",45.5
0,2,"raca",67.5
0,2,"raca",108.5
0,2,"raca",150
0,2,"raca",189.5
15,2,"raca",238.5
45,2,"raca",271.5
0,2,"raca",81
6,2,"raca",115.5
9,2,"raca",151.5
18,2,"raca",193
20,2,"raca",220.5
30,2,"raca",256
36,2,"raca",290.5
4,2,"raca",30.5
1,7,"raca",52.5
0,7,"raca",86.5
0,7,"raca",132.5
1,7,"raca",163
0,7,"raca",201.5
0,7,"raca",247.5
1,7,"raca",280
0,7,"raca",90.5
1,7,"raca",125
1,7,"raca",156.5
0,7,"raca",199.5
0,7,"raca",228
3,7,"raca",262.5
0,7,"raca",311.5
0,7,"raca",44.5
0,10,"raca",52.5
0,10,"raca",84.5
0,10,"raca",131.5
0,10,"raca",163
0,10,"raca",198.5
0,10,"raca",240
1,10,"raca",282.5
0,10,"raca",88
0,10,"raca",122.5
0,10,"raca",156.5
0,10,"raca",203.5
0,10,"raca",231
0,10,"raca",265.5
0,10,"raca",311.5
1,10,"raca",41.5
36,15,"raca",66.5
17,15,"raca",97.5
8,15,"raca",140.5
13,15,"raca",171.5
18,15,"raca",209.5
7,15,"raca",252
3,15,"raca",289.5
56,15,"raca",97.5
37,15,"raca",134
9,15,"raca",162
32,15,"raca",210.5
74,15,"raca",239.5
51,15,"raca",273
5,15,"raca",308
11,15,"raca",51.5
63,2,"pscr",45.5
965,2,"pscr",67.5
266,2,"pscr",108.5
27,2,"pscr",150
1,2,"pscr",189.5
0,2,"pscr",238.5
0,2,"pscr",271.5
872,2,"pscr",81
94,2,"pscr",115.5
29,2,"pscr",151.5
70,2,"pscr",193
14,2,"pscr",220.5
0,2,"pscr",256
0,2,"pscr",290.5
2,2,"pscr",30.5
4,7,"pscr",52.5
63,7,"pscr",86.5
7,7,"pscr",132.5
0,7,"pscr",163
0,7,"pscr",201.5
0,7,"pscr",247.5
0,7,"pscr",280
2,7,"pscr",90.5
0,7,"pscr",125
6,7,"pscr",156.5
0,7,"pscr",199.5
0,7,"pscr",228
0,7,"pscr",262.5
0,7,"pscr",311.5
0,7,"pscr",44.5
0,10,"pscr",52.5
71,10,"pscr",84.5
26,10,"pscr",131.5
0,10,"pscr",163
0,10,"pscr",198.5
0,10,"pscr",240
0,10,"pscr",282.5
0,10,"pscr",88
0,10,"pscr",122.5
0,10,"pscr",156.5
0,10,"pscr",203.5
0,10,"pscr",231
0,10,"pscr",265.5
0,10,"pscr",311.5
0,10,"pscr",41.5
125,15,"pscr",66.5
258,15,"pscr",97.5
13,15,"pscr",140.5
0,15,"pscr",171.5
0,15,"pscr",209.5
0,15,"pscr",252
0,15,"pscr",289.5
142,15,"pscr",97.5
1,15,"pscr",134
0,15,"pscr",162
0,15,"pscr",210.5
0,15,"pscr",239.5
0,15,"pscr",273
0,15,"pscr",308
144,15,"pscr",51.5
66,2,"psfe",45.5
313,2,"psfe",67.5
0,2,"psfe",108.5
0,2,"psfe",150
0,2,"psfe",189.5
0,2,"psfe",238.5
0,2,"psfe",271.5
10,2,"psfe",81
0,2,"psfe",115.5
0,2,"psfe",151.5
0,2,"psfe",193
0,2,"psfe",220.5
0,2,"psfe",256
0,2,"psfe",290.5
0,2,"psfe",30.5
0,7,"psfe",52.5
0,7,"psfe",86.5
0,7,"psfe",132.5
0,7,"psfe",163
0,7,"psfe",201.5
0,7,"psfe",247.5
0,7,"psfe",280
0,7,"psfe",90.5
0,7,"psfe",125
0,7,"psfe",156.5
0,7,"psfe",199.5
0,7,"psfe",228
0,7,"psfe",262.5
0,7,"psfe",311.5
0,7,"psfe",44.5
0,10,"psfe",52.5
39,10,"psfe",84.5
0,10,"psfe",131.5
0,10,"psfe",163
0,10,"psfe",198.5
0,10,"psfe",240
0,10,"psfe",282.5
0,10,"psfe",88
0,10,"psfe",122.5
0,10,"psfe",156.5
0,10,"psfe",203.5
0,10,"psfe",231
0,10,"psfe",265.5
0,10,"psfe",311.5
0,10,"psfe",41.5
26,15,"psfe",66.5
0,15,"psfe",97.5
0,15,"psfe",140.5
0,15,"psfe",171.5
0,15,"psfe",209.5
0,15,"psfe",252
0,15,"psfe",289.5
0,15,"psfe",97.5
0,15,"psfe",134
0,15,"psfe",162
0,15,"psfe",210.5
0,15,"psfe",239.5
0,15,"psfe",273
0,15,"psfe",308
0,15,"psfe",51.5
0,2,"novi",45.5
0,2,"novi",67.5
0,2,"novi",108.5
0,2,"novi",150
0,2,"novi",189.5
0,2,"novi",238.5
0,2,"novi",271.5
0,2,"novi",81
0,2,"novi",115.5
0,2,"novi",151.5
0,2,"novi",193
0,2,"novi",220.5
0,2,"novi",256
0,2,"novi",290.5
0,2,"novi",30.5
245,10,"novi",52.5
52,10,"novi",84.5
84,10,"novi",131.5
210,10,"novi",163
7,10,"novi",198.5
0,10,"novi",240
6,10,"novi",282.5
94,10,"novi",88
88,10,"novi",122.5
0,10,"novi",156.5
55,10,"novi",203.5
85,10,"novi",231
0,10,"novi",265.5
0,10,"novi",311.5
121,10,"novi",41.5
0,2,"hych",45.5
0,2,"hych",67.5
0,2,"hych",108.5
30,2,"hych",150
130,2,"hych",189.5
0,2,"hych",238.5
0,2,"hych",271.5
0,2,"hych",81
0,2,"hych",115.5
347,2,"hych",151.5
164,2,"hych",193
0,2,"hych",220.5
0,2,"hych",256
0,2,"hych",290.5
0,2,"hych",30.5
0,7,"hych",52.5
0,7,"hych",86.5
0,7,"hych",132.5
0,7,"hych",163
0,7,"hych",201.5
0,7,"hych",247.5
0,7,"hych",280
0,7,"hych",90.5
0,7,"hych",125
0,7,"hych",156.5
0,7,"hych",199.5
0,7,"hych",228
0,7,"hych",262.5
0,7,"hych",311.5
0,7,"hych",44.5
0,10,"hych",52.5
0,10,"hych",84.5
0,10,"hych",131.5
7,10,"hych",163
50,10,"hych",198.5
0,10,"hych",240
0,10,"hych",282.5
0,10,"hych",88
0,10,"hych",122.5
0,10,"hych",156.5
17,10,"hych",203.5
0,10,"hych",231
0,10,"hych",265.5
0,10,"hych",311.5
0,10,"hych",41.5
0,15,"hych",66.5
0,15,"hych",97.5
89,15,"hych",140.5
0,15,"hych",171.5
70,15,"hych",209.5
0,15,"hych",252
0,15,"hych",289.5
0,15,"hych",97.5
32,15,"hych",134
0,15,"hych",162
3,15,"hych",210.5
0,15,"hych",239.5
0,15,"hych",273
0,15,"hych",308
0,15,"hych",51.5
649,7,"novi",52.5
237,7,"novi",86.5
1010,7,"novi",163
227,7,"novi",201.5
63,7,"novi",247.5
490,7,"novi",280
168,7,"novi",90.5
54,7,"novi",125
379,7,"novi",156.5
126,7,"novi",199.5
482,7,"novi",228
284,7,"novi",262.5
0,7,"novi",311.5
316,7,"novi",44.5
610,15,"novi",66.5
1490,15,"novi",97.5
2278,15,"novi",140.5
642,15,"novi",209.5
289,15,"novi",252
706,15,"novi",289.5
132,15,"novi",97.5
185,15,"novi",134
935,15,"novi",162
186,15,"novi",210.5
283,15,"novi",239.5
258,15,"novi",273
169,15,"novi",308
2812,15,"novi",51.5
