"","site_visit","newts","n","site_id","visit_batch","site.y","area","doy","avg_newt","n_pipe_area","newt_abund","use_area","use_n_pipe_area","newt_abund2"
"10","lotus_1",6,7,7,1,"lotus",253.042279496952,52.5,0.857142857142857,322.183436745447,276,594.849215715985,757.385544604289,649
"11","lotus_10",5,16,7,10,"lotus",546.36516531265,86.5,0.3125,695.65373434183,217,594.849215715985,757.385544604289,237
"12","lotus_12",16,12,7,12,"lotus",137.94871943838,163,1.33333333333333,175.641764734522,234,594.849215715985,757.385544604289,1010
"13","lotus_13",3,10,7,13,"lotus",362.584198732787,201.5,0.3,461.656540122697,138,594.849215715985,757.385544604289,227
"14","lotus_14",1,12,7,14,"lotus",594.849215715985,247.5,0.0833333333333333,757.385544604289,63,594.849215715985,757.385544604289,63
"15","lotus_15",11,17,7,15,"lotus",358.464520074398,280,0.647058823529412,456.411202343235,295,594.849215715985,757.385544604289,490
"16","lotus_2",4,18,7,2,"lotus",424.932588257204,90.5,0.222222222222222,541.040975215737,120,594.849215715985,757.385544604289,168
"17","lotus_3",1,14,7,3,"lotus",586.656592310261,125,0.0714285714285714,746.954372508999,53,594.849215715985,757.385544604289,54
"18","lotus_4",4,8,7,4,"lotus",349.362630426479,156.5,0.5,444.822316511689,222,594.849215715985,757.385544604289,379
"19","lotus_5",1,6,7,5,"lotus",542.182639690995,199.5,0.166666666666667,690.328377323471,115,594.849215715985,757.385544604289,126
"20","lotus_6",7,11,7,6,"lotus",386.661884777883,228,0.636363636363636,492.313202141032,313,594.849215715985,757.385544604289,482
"21","lotus_7",3,8,7,7,"lotus",454.178933814709,262.5,0.375,578.278578918542,217,594.849215715985,757.385544604289,284
"22","lotus_8",0,13,7,8,"lotus",541.490280953743,311.5,0,689.446838800059,0,594.849215715985,757.385544604289,0
"23","lotus_9",5,12,7,9,"lotus",236.970950496811,44.5,0.416666666666667,301.720785126018,126,594.849215715985,757.385544604289,316
"24","wh_1",5,16,15,1,"wh",1534.24870607831,66.5,0.3125,1953.46612403766,610,1534.24870607831,1953.46612403766,610
"25","wh_10",14,38,15,10,"wh",3175.84461352916,97.5,0.368421052631579,4043.61094987949,1490,3175.84461352916,4043.61094987949,1490
"26","wh_11",27,43,15,11,"wh",4.645152,140.5,0.627906976744186,5.91439121770563,4,2849.36034522412,3627.91826873958,2278
"27","wh_13",9,45,15,13,"wh",2522.87607691908,209.5,0.2,3212.22558759968,642,2522.87607691908,3212.22558759968,642
"28","wh_14",3,9,15,14,"wh",681.771809770486,252,0.333333333333333,868.058828685442,289,681.771809770486,868.058828685442,289
"29","wh_15",28,24,15,15,"wh",475.033748952372,289.5,1.16666666666667,604.831754249956,706,475.033748952372,604.831754249956,706
"30","wh_2",2,38,15,2,"wh",1973.74308886246,97.5,0.0526315789473684,2513.04775188741,132,1973.74308886246,2513.04775188741,132
"31","wh_3",5,17,15,3,"wh",495.201947203274,134,0.294117647058824,630.510701809063,185,495.201947203274,630.510701809063,185
"32","wh_4",8,6,15,4,"wh",550.494571409999,162,1.33333333333333,700.911457481246,935,550.494571409999,700.911457481246,935
"33","wh_5",3,11,15,5,"wh",535.077805063898,210.5,0.272727272727273,681.282220917448,186,535.077805063898,681.282220917448,186
"34","wh_6",5,12,15,6,"wh",533.380233042503,239.5,0.416666666666667,679.120805089772,283,533.380233042503,679.120805089772,283
"35","wh_7",4,13,15,7,"wh",658.841603157098,273,0.307692307692308,838.863182856328,258,658.841603157098,838.863182856328,258
"36","wh_8",7,16,15,8,"wh",304.193984791039,308,0.4375,387.311810706518,169,304.193984791039,387.311810706518,169
"37","wh_9",20,32,15,9,"wh",3534.19494241804,51.5,0.625,4499.87675948966,2812,3534.19494241804,4499.87675948966,2812
