,site_id,sampling,hych,novi,pscr,psfe,raca,racl,survey_time,avg_temp,doy_ave,ves_min_since_sunset,humidity_percent,precipitation_accumulation_cm,visit,surv_num,area,survey_effort,sample_set
1,2,2.1.1,0,0,0,1,0,0,1400,18.25,45.5,47.52910919,69,0,1,1,49187.55115,0.028462486,2_1
2,2,2.1.2,0,0,0,0,0,0,1302,18.25,45.5,107.0291092,69,0,1,2,49187.55115,0.026470112,2_1
3,2,2.1.3,0,0,2,3,0,0,1983,11.85,45.5,55.01911259,88,0.508,1,3,49187.55115,0.040315079,2_1
4,2,2.1.4,0,0,2,1,0,0,1695,11.85,45.5,110.5191126,88,0.508,1,4,49187.55115,0.034459939,2_1
5,2,2.10.1,0,0,52,10,0,4,3878,14.5,67.5,67.82093358,48.1,0,10,1,49187.55115,0.078841087,2_10
6,2,2.10.2,0,0,30,11,0,5,2808,14.5,67.5,181.0709336,48.1,0,10,2,49187.55115,0.057087615,2_10
7,2,2.10.3,0,0,12,1,0,4,2489,9.5,67.5,104.7927418,56.4,0,10,3,49187.55115,0.050602235,2_10
8,2,2.11.1,0,0,7,0,0,2,1648,17.5,108.5,35.61639373,62,0.03,11,1,49187.55115,0.033504412,2_11
9,2,2.11.2,0,0,4,0,0,7,1920,29.8,108.5,53.02631965,29.01,0,11,2,49187.55115,0.039034267,2_11
10,2,2.11.3,0,0,2,0,0,7,1573,29.8,108.5,101.7763196,29.01,0,11,3,49187.55115,0.031979636,2_11
11,2,2.12.1,3,0,2,0,0,28,2986,20,150,62.12454613,64,0.03,12,1,49187.55115,0.060706417,2_12
12,2,2.12.2,3,0,0,0,0,40,3020,20,150,139.3745461,64,0.03,12,2,49187.55115,0.061397649,2_12
13,2,2.12.3,0,0,0,0,0,31,2507,18.5,150,61.30761431,66.5,0,12,3,49187.55115,0.050968181,2_12
14,2,2.13.1,7,0,0,0,0,43,3185,27,189.5,69.21086824,66,0,13,1,49187.55115,0.064752156,2_13
15,2,2.13.2,9,0,0,0,0,46,3238,27,189.5,134.2108682,66,0,13,2,49187.55115,0.065829665,2_13
16,2,2.13.3,9,0,0,0,0,29,2445,27.5,189.5,64.48567261,57,0,13,3,49187.55115,0.049707699,2_13
17,2,2.14.1,0,0,0,0,1,50,2795,21,238.5,77.05273569,64,0,14,1,49187.55115,0.056823321,2_14
18,2,2.14.2,0,0,0,0,5,64,2943,23,238.5,109.0099039,63,0,14,2,49187.55115,0.059832212,2_14
19,2,2.14.3,0,0,0,0,4,57,3013,23,238.5,233.2599039,63,0,14,3,49187.55115,0.061255337,2_14
20,2,2.15.1,0,0,0,0,10,41,3077,23,271.5,75.75984492,82,0.13,15,1,49187.55115,0.062556479,2_15
21,2,2.15.2,0,0,0,0,9,47,2961,23,271.5,173.5098449,82,0.13,15,2,49187.55115,0.060198158,2_15
22,2,2.15.3,0,0,0,0,11,11,2359,23.5,271.5,113.2353288,79,1.83,15,3,49187.55115,0.047959289,2_15
23,2,2.2.1,0,0,10,0,0,1,2521,2.55,81,44.57810482,37.9,0,2,1,49187.55115,0.051252806,2_2
24,2,2.2.2,0,0,3,0,0,0,2414,2.55,81,99.57810482,37.9,0,2,2,49187.55115,0.049077458,2_2
25,2,2.2.3,0,0,60,1,0,6,4311,16.45,81,66.38750823,60.2,0.03,2,3,49187.55115,0.087644127,2_2
26,2,2.3.1,0,0,0,0,1,0,1879,13.45,115.5,34.52049333,42.1,0,3,1,49187.55115,0.038200723,2_3
27,2,2.3.2,0,0,0,0,1,1,1832,13.45,115.5,86.52049333,42.1,0,3,2,49187.55115,0.037245196,2_3
28,2,2.3.3,0,0,5,0,2,3,2285,13.5,115.5,40.92662087,52.1,0.08,3,3,49187.55115,0.046454844,2_3
29,2,2.4.1,24,0,2,0,2,36,2997,22,151.5,63.6554088,66.5,0,4,1,49187.55115,0.060930051,2_4
30,2,2.4.2,14,0,0,0,2,18,2413,22,151.5,131.9054088,66.5,0,4,2,49187.55115,0.049057128,2_4
31,2,2.4.3,25,0,0,0,2,8,2189,22,151.5,49.27198542,64.7,0,4,3,49187.55115,0.04450313,2_4
32,2,2.5.1,13,0,3,0,0,82,3374,24,193,54.95842179,57.4,0,5,1,49187.55115,0.068594592,2_5
33,2,2.5.2,7,0,2,0,4,85,2829,24,193,120.4584218,57.4,0,5,2,49187.55115,0.057514553,2_5
34,2,2.5.3,12,0,2,0,8,45,3295,26.5,193,42.9726912,58.1,0,5,3,49187.55115,0.066988495,2_5
35,2,2.6.1,0,0,1,0,3,65,2892,23,220.5,55.78626932,80,0,6,1,49187.55115,0.058795365,2_6
36,2,2.6.2,0,0,0,0,6,63,2522,23,220.5,129.2862693,80,0,6,2,49187.55115,0.051273136,2_6
37,2,2.6.3,0,0,1,0,4,32,2242,24,220.5,36.6027946,80,0.2,6,3,49187.55115,0.045580639,2_6
38,2,2.7.1,0,0,0,0,4,7,2150,21.5,256,41.88750003,56.3,2.44,7,1,49187.55115,0.043710247,2_7
39,2,2.7.2,0,0,0,0,7,11,1918,21.5,256,101.3875,56.3,2.44,7,2,49187.55115,0.038993606,2_7
40,2,2.7.3,0,0,0,0,8,31,2816,24,256,37.32875089,65.4,0,7,3,49187.55115,0.057250258,2_7
41,2,2.8.1,0,0,0,0,9,7,2005,11.5,290.5,44.4932589,54.4,0,8,1,49187.55115,0.040762346,2_8
42,2,2.8.2,0,0,0,0,9,5,1665,11.5,290.5,87.4932589,54.4,0,8,2,49187.55115,0.033850028,2_8
43,2,2.8.3,0,0,0,0,2,7,1152,15,290.5,35.53016965,53.1,0.03,8,3,49187.55115,0.02342056,2_8
44,2,2.9.1,0,0,0,0,2,0,1312,8,30.5,42.18225026,43.4,0.41,9,1,49187.55115,0.026673416,2_9
45,2,2.9.2,0,0,0,0,0,0,970,8,30.5,84.43225026,43.4,0.41,9,2,49187.55115,0.019720437,2_9
46,2,2.9.3,0,0,0,0,0,1,937,6,30.5,32.37133437,52.5,0,9,3,49187.55115,0.019049535,2_9
47,7,7.1.1,0,0,1,0,1,6,1421,16.15,52.5,104.1353485,59,0,1,1,8394.831926,0.16927081,7_1
48,7,7.1.2,0,0,1,0,0,8,1746,16.15,52.5,161.1353485,59,0,1,2,8394.831926,0.207985105,7_1
49,7,7.1.3,0,0,0,0,0,8,955,27.3,52.5,102.1639169,42.5,0,1,3,8394.831926,0.113760467,7_1
50,7,7.10.1,0,18,59,0,0,12,3328,13,86.5,92.00978358,58.4,0.84,10,1,8394.831926,0.396434381,7_10
51,7,7.10.2,0,38,8,0,0,9,1796,10.5,86.5,81.33556781,31.4,0,10,2,8394.831926,0.21394115,7_10
52,7,7.10.3,0,27,1,0,0,14,1348,10.5,86.5,132.3355678,31.4,0,10,3,8394.831926,0.160574984,7_10
53,7,7.11.1,0,8,4,0,0,7,1752,21.5,132.5,70.13419825,72,3.28,11,1,8394.831926,0.20869983,7_11
54,7,7.11.2,0,3,0,0,0,6,1270,21.5,132.5,123.1341983,72,3.28,11,2,8394.831926,0.151283553,7_11
55,7,7.11.3,0,37,0,0,0,18,1747,18.5,132.5,92.67608167,24.1,0,11,3,8394.831926,0.208104226,7_11
56,7,7.12.1,0,35,0,0,1,38,3291,19.5,163,94.20997316,58,0,12,1,8394.831926,0.392026908,7_12
57,7,7.12.2,0,33,0,0,0,49,3222,19.5,163,174.2099732,58,0,12,2,8394.831926,0.383807565,7_12
58,7,7.12.3,0,31,0,0,1,42,3189,18.25,163,66.77195931,56,0,12,3,8394.831926,0.379876575,7_12
59,7,7.13.1,0,18,0,0,0,55,4027,25.5,201.5,59.69781893,80,0,13,1,8394.831926,0.479699896,7_13
60,7,7.13.2,0,5,0,0,0,51,2660,25.5,201.5,113.6978189,80,0,13,2,8394.831926,0.316861615,7_13
61,7,7.13.3,0,1,0,0,0,38,2525,23.5,201.5,75.22851973,59,1.42,13,3,8394.831926,0.300780292,7_13
62,7,7.14.1,0,21,0,0,0,16,2688,24,247.5,47.3660648,66,0,14,1,8394.831926,0.320197,7_14
63,7,7.14.2,0,8,0,0,0,14,2290,24,247.5,124.3660648,66,0,14,2,8394.831926,0.272786879,7_14
64,7,7.14.3,0,3,0,0,0,21,1859,25.5,247.5,88.08642535,59,0,14,3,8394.831926,0.221445768,7_14
65,7,7.15.1,0,10,0,0,1,1,1356,16,280,143.456165,61,0,15,1,8394.831926,0.161527951,7_15
66,7,7.15.2,0,28,0,0,0,2,1749,14.5,280,76.84293831,74,0,15,2,8394.831926,0.208342468,7_15
67,7,7.15.3,0,13,0,0,0,1,966,14.5,280,168.8429383,74,0,15,3,8394.831926,0.115070797,7_15
68,7,7.2.1,0,0,1,0,0,4,1521,14.25,90.5,84.9706121,43.9,0,2,1,8394.831926,0.181182901,7_2
69,7,7.2.2,0,0,0,0,0,12,1638,14.25,90.5,143.9706121,43.9,0,2,2,8394.831926,0.195120047,7_2
70,7,7.2.3,0,0,0,0,0,15,226,16.5,90.5,87.29895043,44,0,2,3,8394.831926,0.026921325,7_2
71,7,7.3.1,0,0,0,0,1,18,1721,11.35,125,79.61701028,34,0,3,1,8394.831926,0.205007082,7_3
72,7,7.3.2,0,0,0,0,0,17,1633,11.35,125,146.6170103,34,0,3,2,8394.831926,0.194524442,7_3
73,7,7.3.3,0,0,0,0,0,24,1732,8.35,125,61.77540872,37,0,3,3,8394.831926,0.206317412,7_3
74,7,7.4.1,0,0,1,0,0,4,1200,23,156.5,54.12722801,60.5,0.18,4,1,8394.831926,0.142945089,7_4
75,7,7.4.2,0,0,1,0,1,16,1146,23,156.5,125.127228,60.5,0.18,4,2,8394.831926,0.13651256,7_4
76,7,7.4.3,0,0,1,0,0,22,1556,22.5,156.5,50.57585557,55.5,0.03,4,3,8394.831926,0.185352133,7_4
77,7,7.5.1,0,0,0,0,0,40,2097,24.55,199.5,78.36282967,58.5,0.53,5,1,8394.831926,0.249796544,7_5
78,7,7.5.2,0,0,0,0,0,36,2087,24.55,199.5,132.3628297,58.5,0.53,5,2,8394.831926,0.248605335,7_5
79,7,7.5.3,0,0,0,0,0,40,2094,23,199.5,82.92768912,88.9,0.1,5,3,8394.831926,0.249439181,7_5
80,7,7.6.1,0,67,0,0,0,36,2597,23,228,63.39857719,51,0.63,6,1,8394.831926,0.309356998,7_6
