species,number_of_individuals,longitude_ves,latitude_ves,site_id,date
psfe,1,-83.93991834,35.93564714,2,2/14/23
unknown,1,-83.93956306,35.93516844,2,2/14/23
psfe,1,-83.9400293,35.93577423,2,2/15/23
psfe,1,-83.9400441,35.93580207,2,2/15/23
rasy,1,-83.94001597,35.93563064,2,2/15/23
rasy,1,-83.93999664,35.93563374,2,2/15/23
psfe,1,-83.93998456,35.93555151,2,2/15/23
rasy,1,-83.93999443,35.93565431,2,2/15/23
pscr,1,-83.93984824,35.93568759,2,2/15/23
pscr,1,-83.93988012,35.93577057,2,2/15/23
psfe,1,-83.94006384,35.93575278,2,2/15/23
pscr,1,-83.93992359,35.93567181,2,2/15/23
pscr,1,-83.93998073,35.93562618,2,2/15/23
racl,1,-83.86821369,35.95665364,7,2/21/23
racl,3,-83.86821923,35.95663833,7,2/21/23
racl,1,-83.86829859,35.9566651,7,2/21/23
pscr,1,-83.86806394,35.95672695,7,2/21/23
racl,1,-83.86853524,35.95681236,7,2/21/23
raca,1,-83.86826132,35.9566746,7,2/21/23
racl,1,-83.86846717,35.95656996,7,2/21/23
racl,2,-83.86833415,35.95662352,7,2/21/23
racl,2,-83.86807021,35.95676534,7,2/21/23
pscr,1,-83.86813625,35.95673771,7,2/21/23
racl,1,-83.8682569,35.95682436,7,2/21/23
racl,1,-83.86841966,35.95670294,7,2/21/23
racl,1,-83.8683474,35.95651987,7,2/21/23
novi,1,-83.8693628,35.95783151,10,2/21/23
racl,2,-83.86935999,35.95783202,10,2/21/23
novi,1,-83.86936424,35.95786501,10,2/21/23
novi,1,-83.86931524,35.95779068,10,2/21/23
racl,1,-83.86937131,35.95786238,10,2/21/23
novi,1,-83.86932163,35.95778199,10,2/21/23
racl,1,-83.86931979,35.95787184,10,2/21/23
novi,2,-83.86933675,35.95786896,10,2/21/23
racl,1,-83.86932382,35.95779346,10,2/21/23
other,1,-83.86935749,35.9578679,10,2/21/23
novi,1,-83.86932957,35.95788252,10,2/21/23
novi,1,-83.86936434,35.95785295,10,2/21/23
novi,2,-83.86927273,35.95779395,10,2/21/23
novi,1,-83.8693335,35.95781606,10,2/21/23
racl,1,-83.86936559,35.95786146,10,2/21/23
novi,1,-83.86937904,35.95783117,10,2/21/23
novi,1,-83.8693624,35.95785161,10,2/21/23
novi,1,-83.86936656,35.95783982,10,2/21/23
other,1,-83.86930217,35.95777625,10,2/21/23
novi,2,-83.86933833,35.95787384,10,2/21/23
novi,1,-83.86938207,35.9578351,10,2/21/23
racl,1,-83.86938466,35.95791737,10,2/21/23
novi,1,-83.86938475,35.95782046,10,2/21/23
novi,2,-83.86938571,35.95785143,10,2/21/23
novi,2,-83.86927437,35.95778174,10,2/21/23
psfe,7,-83.86977813,35.95698876,NA,NA
psfe,1,-83.86974138,35.95697215,NA,NA
rasy,1,-83.86979597,35.95696278,NA,NA
psfe,1,-83.86978093,35.95699981,NA,NA
psfe,2,-83.86980656,35.95694608,NA,NA
psfe,1,-83.86977634,35.95693542,NA,NA
novi,1,-83.86931218,35.957848,10,2/21/23
novi,1,-83.86930847,35.95781708,10,2/21/23
novi,1,-83.86923588,35.95781777,10,2/21/23
novi,2,-83.86933124,35.95784036,10,2/21/23
novi,2,-83.86933318,35.95785103,10,2/21/23
novi,2,-83.86929298,35.95782072,10,2/21/23
novi,2,-83.8693347,35.95785974,10,2/21/23
other,1,-83.86940674,35.95779276,10,2/21/23
novi,2,-83.86933757,35.95783905,10,2/21/23
racl,1,-83.86931316,35.95784817,10,2/21/23
novi,2,-83.86932327,35.95787254,10,2/21/23
novi,1,-83.86929913,35.95781772,10,2/21/23
novi,2,-83.86927044,35.95779523,10,2/21/23
novi,1,-83.86921586,35.95778665,10,2/21/23
racl,2,-83.86935459,35.95784177,10,2/21/23
novi,1,-83.86944434,35.95780063,10,2/21/23
novi,2,-83.86930819,35.95781261,10,2/21/23
novi,2,-83.86923403,35.95778207,10,2/21/23
novi,3,-83.86931316,35.95781984,10,2/21/23
racl,3,-83.86934028,35.95782618,10,2/21/23
novi,1,-83.8693511,35.95788234,10,2/21/23
racl,2,-83.86845365,35.95660224,7,2/22/23
racl,1,-83.86818973,35.95662456,7,2/22/23
racl,3,-83.86816853,35.9568,7,2/22/23
racl,2,-83.86838981,35.95662058,7,2/22/23
racl,1,-83.86919385,35.95784238,10,2/22/23
racl,1,-83.86936097,35.95793505,10,2/22/23
racl,1,-83.86924108,35.95779262,10,2/22/23
racl,1,-83.86939329,35.95786372,10,2/22/23
racl,1,-83.86923272,35.9577819,10,2/22/23
racl,1,-83.86938498,35.95795025,10,2/22/23
racl,4,-83.86937058,35.95788336,10,2/22/23
pscr,1,-83.87682812,35.93355166,15,3/7/23
raca,1,-83.87718687,35.93328381,15,3/7/23
raca,1,-83.87722104,35.93326763,15,3/7/23
pscr,1,-83.87680775,35.93324611,15,3/7/23
pscr,1,-83.87652696,35.93348423,15,3/7/23
racl,1,-83.87672226,35.93340238,15,3/7/23
pscr,2,-83.87681602,35.93328571,15,3/7/23
raca,1,-83.87551336,35.930797,15,3/7/23
pscr,1,-83.87701948,35.93339978,15,3/7/23
raca,1,-83.87709341,35.93324366,15,3/7/23
raca,1,-83.87687582,35.93339332,15,3/7/23
pscr,1,-83.8766428,35.93335573,15,3/7/23
raca,1,-83.87696693,35.93332757,15,3/7/23
raca,1,-83.87683005,35.93328989,15,3/7/23
raca,1,-83.87708863,35.93324341,15,3/7/23
racl,1,-83.87662428,35.93336466,15,3/7/23
raca,1,-83.8730421,35.9263976,15,3/7/23
raca,1,-83.87680608,35.9334108,15,3/7/23
pscr,2,-83.87715267,35.93319579,15,3/7/23
raca,1,-83.87720694,35.9331677,15,3/7/23
pscr,2,-83.87735033,35.93311586,15,3/7/23
pscr,4,-83.87741909,35.93321122,15,3/7/23
raca,2,-83.87719606,35.93317919,15,3/7/23
racl,1,-83.87749271,35.93345294,15,3/7/23
racl,1,-83.87745423,35.93341078,15,3/7/23
psfe,2,-83.87724679,35.93310331,15,3/7/23
pscr,3,-83.87724505,35.93310408,15,3/7/23
racl,1,-83.8773615,35.93315932,15,3/7/23
pscr,1,-83.87730431,35.93335976,15,3/7/23
pscr,3,-83.87730513,35.93307074,15,3/7/23
pscr,3,-83.87725563,35.93330418,15,3/7/23
pscr,3,-83.8772614,35.93335259,15,3/7/23
raca,1,-83.87726722,35.93326821,15,3/7/23
pscr,4,-83.87716782,35.93321019,15,3/7/23
raca,1,-83.87736189,35.93313984,15,3/7/23
pscr,3,-83.87736614,35.93315479,15,3/7/23
raca,1,-83.87713751,35.93318481,15,3/7/23
raca,1,-83.87734711,35.93314175,15,3/7/23
racl,1,-83.87734676,35.9331411,15,3/7/23
pscr,2,-83.87724543,35.93312292,15,3/7/23
racl,2,-83.87733635,35.93333187,15,3/7/23
pscr,2,-83.87750302,35.93329105,15,3/7/23
raca,1,-83.87724598,35.93304646,15,3/7/23
raca,1,-83.87729318,35.93330841,15,3/7/23
racl,1,-83.87748601,35.93324698,15,3/7/23
pscr,3,-83.87749001,35.9333323,15,3/7/23
racl,1,-83.87747234,35.93339246,15,3/7/23
pscr,2,-83.8774974,35.93337345,15,3/7/23
pscr,4,-83.87749605,35.93343067,15,3/7/23
racl,1,-83.87720426,35.93317128,15,3/7/23
raca,1,-83.87719293,35.93323919,15,3/7/23
pscr,3,-83.87737999,35.93340442,15,3/7/23
pscr,2,-83.87737588,35.93317962,15,3/7/23
racl,2,-83.87741389,35.93322347,15,3/7/23
racl,1,-83.87736185,35.93313833,15,3/7/23
racl,2,-83.87748495,35.9333451,15,3/7/23
racl,1,-83.87733933,35.93335021,15,3/7/23
racl,1,-83.87722208,35.93328744,15,3/7/23
raca,1,-83.87710757,35.9333088,15,3/7/23
pscr,1,-83.87691021,35.93322957,15,3/7/23
raca,1,-83.87677887,35.93345805,15,3/7/23
raca,1,-83.87659624,35.93346908,15,3/7/23
raca,1,-83.87695694,35.93332293,15,3/7/23
raca,1,-83.87721345,35.93328108,15,3/7/23
pscr,1,-83.87690404,35.93327913,15,3/7/23
raca,1,-83.87733732,35.9332947,15,3/7/23
raca,1,-83.87657149,35.93331661,15,3/7/23
raca,1,-83.87673975,35.93339426,15,3/7/23
pscr,1,-83.87694007,35.93340595,15,3/7/23
raca,1,-83.8771791,35.93329288,15,3/7/23
raca,1,-83.87690046,35.93335597,15,3/7/23
raca,1,-83.87691608,35.93335327,15,3/7/23
raca,1,-83.87718933,35.93320222,15,3/7/23
racl,1,-83.87729981,35.93314636,15,3/7/23
raca,1,-83.87722518,35.93319046,15,3/7/23
racl,1,-83.87736974,35.93323159,15,3/7/23
racl,1,-83.87757047,35.93344599,15,3/7/23
racl,1,-83.87742317,35.9332742,15,3/7/23
pscr,1,-83.87732314,35.93334827,15,3/7/23
racl,1,-83.87729525,35.93331683,15,3/7/23
pscr,2,-83.87726627,35.9330924,15,3/7/23
racl,1,-83.87752159,35.93335634,15,3/7/23
pscr,4,-83.87734481,35.93338249,15,3/7/23
psfe,2,-83.87723852,35.93304177,15,3/7/23
racl,1,-83.87732917,35.93306606,15,3/7/23
raca,1,-83.87724739,35.93328694,15,3/7/23
racl,1,-83.87753869,35.93350165,15,3/7/23
pscr,3,-83.87745925,35.93328058,15,3/7/23
racl,1,-83.87736337,35.93343193,15,3/7/23
racl,2,-83.87739692,35.93340387,15,3/7/23
raca,1,-83.87716692,35.933196,15,3/7/23
racl,1,-83.87716664,35.93319822,15,3/7/23
racl,1,-83.87746062,35.93328076,15,3/7/23
pscr,2,-83.87725612,35.93312256,15,3/7/23
hyci,1,-83.87734902,35.9333215,15,3/7/23
pscr,2,-83.87748706,35.93355947,15,3/7/23
psfe,3,-83.87726909,35.93309578,15,3/7/23
raca,1,-83.87719588,35.93323849,15,3/7/23
pscr,2,-83.87726561,35.93335199,15,3/7/23
raca,1,-83.87731412,35.93316119,15,3/7/23
raca,1,-83.87737786,35.93321592,15,3/7/23
pscr,1,-83.87740202,35.93347339,15,3/7/23
pscr,2,-83.87746339,35.93325028,15,3/7/23
pscr,3,-83.8775351,35.9334454,15,3/7/23
racl,1,-83.877498,35.93348431,15,3/7/23
racl,1,-83.87730212,35.93330962,15,3/7/23
racl,1,-83.87749731,35.93356274,15,3/7/23
pscr,1,-83.87750686,35.93351043,15,3/7/23
racl,1,-83.87690471,35.9334281,15,3/8/23
raca,1,-83.87658613,35.9334384,15,3/8/23
raca,1,-83.87675494,35.93326263,15,3/8/23
raca,1,-83.87717123,35.93330157,15,3/8/23
racl,1,-83.87676503,35.93337907,15,3/8/23
racl,1,-83.87675518,35.93345293,15,3/8/23
raca,1,-83.87679217,35.93323867,15,3/8/23
racl,1,-83.87737982,35.93315497,15,3/8/23
racl,1,-83.87748271,35.93342906,15,3/8/23
racl,1,-83.87745928,35.93345321,15,3/8/23
racl,1,-83.8772016,35.93317667,15,3/8/23
raca,1,-83.87729462,35.93326559,15,3/8/23
racl,1,-83.87750613,35.93346273,15,3/8/23
racl,1,-83.87746405,35.93327269,15,3/8/23
racl,1,-83.87721402,35.93329075,15,3/8/23
racl,2,-83.87731366,35.93329735,15,3/8/23
novi,1,-83.8772205,35.93305818,15,3/8/23
racl,1,-83.87736845,35.93310056,15,3/8/23
racl,1,-83.87747525,35.93337899,15,3/8/23
racl,1,-83.87745572,35.93325857,15,3/8/23
novi,1,-83.87729559,35.93307867,15,3/8/23
racl,1,-83.8775255,35.93344497,15,3/8/23
raca,1,-83.87740838,35.93314544,15,3/8/23
racl,1,-83.87748903,35.93346141,15,3/8/23
racl,1,-83.87751203,35.93351428,15,3/8/23
racl,2,-83.87732126,35.93332625,15,3/8/23
racl,1,-83.87734517,35.9334159,15,3/8/23
raca,1,-83.87721741,35.93317099,15,3/8/23
pscr,2,-83.94007135,35.93574302,2,3/21/23
pscr,1,-83.9399951,35.93573577,2,3/21/23
racl,1,-83.94007964,35.9355859,2,3/21/23
pscr,2,-83.9400446,35.93571645,2,3/21/23
pscr,1,-83.94001351,35.93577236,2,3/21/23
NA,1,-83.94001913,35.9357934,2,3/21/23
pscr,2,-83.9400294,35.93577013,2,3/21/23
pscr,1,-83.93999213,35.93563951,2,3/21/23
pscr,1,-83.94002384,35.93556853,2,3/21/23
pscr,1,-83.94006127,35.93560098,2,3/21/23
pscr,1,-83.9397988,35.93563177,2,3/21/23
pscr,1,-83.93987637,35.93572237,2,3/21/23
pscr,1,-83.93985406,35.93563752,2,3/23/23
pscr,1,-83.93987313,35.93578219,2,3/23/23
pscr,1,-83.93987034,35.93568779,2,3/23/23
pscr,2,-83.93986759,35.93575131,2,3/23/23
